idCompetencia;codigoHabilidade
8;EM13MAT101
8;EM13MAT102
8;EM13MAT103
8;EM13MAT104
8;EM13MAT105
8;EM13MAT106
9;EM13MAT201
9;EM13MAT202
9;EM13MAT203
10;EM13MAT301
10;EM13MAT302
10;EM13MAT303
10;EM13MAT304
10;EM13MAT305
10;EM13MAT306
10;EM13MAT307
10;EM13MAT308
10;EM13MAT309
10;EM13MAT310
10;EM13MAT311
10;EM13MAT312
10;EM13MAT313
10;EM13MAT314
10;EM13MAT315
10;EM13MAT316
11;EM13MAT401
11;EM13MAT402
11;EM13MAT403
11;EM13MAT404
11;EM13MAT405
11;EM13MAT406
11;EM13MAT407
12;EM13MAT501
12;EM13MAT502
12;EM13MAT503
12;EM13MAT504
12;EM13MAT505
12;EM13MAT506
12;EM13MAT507
12;EM13MAT508
12;EM13MAT509
12;EM13MAT510
12;EM13MAT511
