id;descricao
1;Planejar, especificar, projetar, implementar, testar, verificar e validar sistemas de computação (sistemas digitais), incluindo computadores, sistemas baseados em microprocessadores, sistemas de comunicações e sistemas de automação, seguindo teorias, princípios, métodos, técnicas e procedimentos da Computação e da Engenharia
2;Compreender, implementar e gerenciar a segurança de sistemas de computação
3;Gerenciar projetos e manter sistemas de computação
4;Conhecer os direitos e propriedades intelectuais inerentes à produção e à utilização de sistemas de computação
5;Desenvolver processadores específicos, sistemas integrados e sistemas embarcados, incluindo o desenvolvimento de software para esses sistemas
6;Analisar e avaliar arquiteturas de computadores, incluindo plataformas paralelas e distribuídas, como também desenvolver e otimizar software para elas
7;Projetar e implementar software para sistemas de comunicação
8;Analisar, avaliar e selecionar plataformas de hardware e software adequados para suporte de aplicação e sistemas embarcados de tempo real
9;Analisar, avaliar, selecionar e configurar plataformas de hardware para o desenvolvimento e implementação de aplicações de software e serviços
10;Projetar, implantar, administrar e gerenciar redes de computadores
11;Realizar estudos de viabilidade técnico-econômica
