id;descricao
1;Identificar problemas que tenham solução algorítmica
2;Conhecer os limites da computação
3;Resolver problemas usando ambientes de programação
4;Tomar decisões e inovar, com base no conhecimento do funcionamento e das características técnicas de hardware e da infraestrutura de software dos sistemas de computação consciente dos aspectos éticos, legais e dos impactos ambientais decorrentes
5;Compreender e explicar as dimensões quantitativas de um problema
6;Gerir a sua própria aprendizagem e desenvolvimento, incluindo a gestão de tempo e competências organizacionais
7;Preparar e apresentar seus trabalhos e problemas técnicos e suas soluções para audiências diversas, em formatos apropriados (oral e escrito)
8;Avaliar criticamente projetos de sistemas de computação
9;Adequar-se rapidamente às mudanças tecnológicas e aos novos ambientes de trabalho
10;Ler textos técnicos na língua inglesa
11;Empreender e exercer liderança, coordenação e supervisão na sua área de atuação profissional
12;Ser capaz de realizar trabalho cooperativo e entender a força que dele pode ser derivada
