idConteudo;idCompetenciaDerivada;Classificacao
1;1;APLICAR
2;1;APLICAR
3;1;APLICAR
4;2;APLICAR
5;2;APLICAR
6;2;APLICAR
7;2;APLICAR
8;3;AVALIAR
9;3;AVALIAR
10;3;AVALIAR
11;4;AVALIAR
12;4;AVALIAR
13;5;AVALIAR
14;5;AVALIAR
15;6;APLICAR
16;6;APLICAR
17;6;APLICAR
18;7;APLICAR
19;8;APLICAR
20;9;APLICAR
21;9;APLICAR
22;10;CRIAR
23;10;CRIAR
24;10;CRIAR
25;11;CRIAR
26;11;CRIAR
27;11;CRIAR
28;11;CRIAR
29;12;CRIAR
30;12;CRIAR
31;12;CRIAR
32;12;CRIAR
33;12;CRIAR
34;12;CRIAR
35;12;CRIAR
36;13;CRIAR
37;13;CRIAR
38;13;CRIAR
39;13;CRIAR
40;13;CRIAR
41;13;CRIAR
42;13;CRIAR
36;13;AVALIAR
37;13;AVALIAR
38;13;AVALIAR
39;13;AVALIAR
40;13;AVALIAR
41;13;AVALIAR
42;13;AVALIAR
43;14;AVALIAR
44;14;AVALIAR
45;14;AVALIAR
46;14;AVALIAR
47;14;AVALIAR
48;14;AVALIAR
49;15;AVALIAR
50;15;AVALIAR
51;15;AVALIAR
52;15;AVALIAR
53;16;ENTENDER
54;16;ENTENDER
55;16;ENTENDER
56;16;ENTENDER
57;16;ENTENDER
58;17;ENTENDER
59;17;ENTENDER
60;17;ENTENDER
61;17;ENTENDER
62;17;ENTENDER
63;17;ENTENDER
64;18;ANALISAR
65;18;ANALISAR
66;19;APLICAR
67;19;APLICAR
68;19;APLICAR
69;19;APLICAR
70;19;APLICAR
71;19;APLICAR
72;19;APLICAR
73;19;APLICAR
74;19;APLICAR
75;19;APLICAR
76;19;APLICAR
77;19;APLICAR
78;20;AVALIAR
79;20;AVALIAR
80;20;AVALIAR
81;21;ENTENDER
82;21;ENTENDER
83;21;ENTENDER
84;22;APLICAR
85;22;APLICAR
86;23;CRIAR
87;24;APLICAR
88;25;APLICAR
89;25;APLICAR
90;25;APLICAR
91;26;APLICAR
92;27;APLICAR
93;28;APLICAR
